,tau,min_cs,peak_i
0,2,4.3939393939393945,983.6841004306484
1,4,4.090909090909091,937.6409172753873
2,6,3.787878787878788,907.2071420130505
3,8,3.787878787878788,892.7097361669174
4,10,3.6363636363636367,880.0258470850948
5,12,3.6363636363636367,876.6938273199073
6,14,3.6363636363636367,876.1802749358154
7,16,3.787878787878788,885.431740975072
8,18,3.787878787878788,887.8762654071077
9,20,3.787878787878788,891.7450818466519
10,22,3.787878787878788,897.7299183067994
11,24,3.9393939393939394,906.5559569952109
12,26,3.9393939393939394,910.4219971114662
13,28,3.9393939393939394,919.8038099206722
14,30,4.090909090909091,926.898158735273
15,32,4.090909090909091,929.9455808531238
16,34,4.090909090909091,937.6174696364982
17,36,4.242424242424242,947.111260925824
18,38,4.242424242424242,947.9549183401597
19,40,4.242424242424242,950.5192479923514
20,42,4.3939393939393945,967.3891562537237
21,44,4.3939393939393945,967.7933443627413
22,46,4.3939393939393945,968.2783979392437
23,48,4.3939393939393945,969.0339487655698
24,50,4.3939393939393945,981.5637076660098
25,52,4.545454545454546,989.3352328993618
26,54,4.545454545454546,989.3352328993618
27,56,4.545454545454546,989.5072106634913
28,58,4.545454545454546,989.5072106634913
